iter	Logloss
0	0.6825491998
1	0.6726209859
2	0.6638555335
3	0.6565912109
4	0.6485396763
5	0.6409885991
6	0.6327401657
7	0.6259682857
8	0.6191041046
9	0.6138980401
10	0.6077330905
11	0.6016602174
12	0.5958593535
13	0.5906708771
14	0.5856209415
15	0.5798374117
16	0.5747320494
17	0.5700838021
18	0.5657057768
19	0.5620260157
20	0.5585135625
21	0.5545611756
22	0.5506735412
23	0.5469580805
24	0.5433561715
25	0.5400189117
26	0.5365594522
27	0.5334320569
28	0.5304840786
29	0.5279036749
30	0.5242651755
31	0.5205748275
32	0.5177675502
33	0.5150520128
34	0.512986089
35	0.5103436403
36	0.5076404732
37	0.5051556439
38	0.5032289054
39	0.5010443969
40	0.4984332089
41	0.4961496735
42	0.4938551673
43	0.4915027993
44	0.489301947
45	0.4875417207
46	0.4859162793
47	0.4844841084
48	0.4825159036
49	0.4804662171
50	0.4784228385
51	0.4765133348
52	0.4746856109
53	0.4732963353
54	0.4714278819
55	0.469753088
56	0.4683117854
57	0.4664521171
58	0.464938198
59	0.4634763228
60	0.4622133998
61	0.4607538101
62	0.4592983126
63	0.4577861013
64	0.4564481321
65	0.4550860074
66	0.4538240977
67	0.4528285484
68	0.4515574273
69	0.4503706277
70	0.4491657617
71	0.4479792927
72	0.4468161403
73	0.445341494
74	0.4439370154
75	0.4426526738
76	0.441712846
77	0.4404456081
78	0.439514498
79	0.4382341443
80	0.4370212851
81	0.4360381258
82	0.4348499322
83	0.4340104953
84	0.4330049089
85	0.4320301575
86	0.4309665941
87	0.4298553695
88	0.4287953084
89	0.427835054
90	0.4269697138
91	0.4261596683
92	0.4254190083
93	0.4245593802
94	0.4236261618
95	0.4228118101
96	0.4217282231
97	0.4208628221
98	0.4201271524
99	0.4190800072
100	0.418204565
101	0.4172308407
102	0.4164096876
103	0.4154901782
104	0.4145259901
105	0.4137017631
106	0.4127756661
107	0.4120347159
108	0.4111681762
109	0.4104846509
110	0.4095532314
111	0.4087337702
112	0.407880722
113	0.4069976576
114	0.4062952045
115	0.4056512207
116	0.405116924
117	0.4044426244
118	0.4038627049
119	0.4031548155
120	0.4026033339
121	0.402059827
122	0.4014179178
123	0.4008570947
124	0.4001072724
125	0.3991326688
126	0.3985855518
127	0.39796174
128	0.3970620246
129	0.3963842166
130	0.395844241
131	0.3952050747
132	0.3943918084
133	0.3938702359
134	0.3931885064
135	0.3925281426
136	0.3917944156
137	0.3910147616
138	0.390365939
139	0.3898810762
140	0.3891343632
141	0.3884220975
142	0.3879327493
143	0.3873005045
144	0.3866660481
145	0.3862016715
146	0.3855770015
147	0.3850218968
148	0.3845644726
149	0.3840257452
150	0.3835106348
151	0.3829625308
152	0.3824072732
153	0.381820966
154	0.381337313
155	0.3807941428
