iter	Passed	Remaining
413	3708	5249
414	3716	5238
415	3724	5228
416	3732	5219
417	3741	5208
418	3749	5198
419	3757	5188
420	3766	5179
421	3774	5169
422	3782	5159
423	3790	5149
424	3798	5139
425	3806	5129
426	3814	5119
427	3822	5109
428	3831	5099
429	3839	5089
430	3847	5079
431	3855	5069
432	3864	5060
433	3872	5050
434	3881	5041
435	3889	5031
436	3897	5020
437	3905	5011
438	3914	5002
439	3922	4992
440	3931	4983
441	3940	4974
442	3950	4967
443	3959	4958
444	3968	4948
445	3978	4941
446	3989	4935
447	3999	4927
448	4008	4919
449	4018	4911
450	4028	4903
451	4037	4894
452	4045	4885
453	4054	4876
454	4063	4866
455	4072	4858
456	4081	4849
457	4090	4840
458	4099	4831
459	4108	4822
460	4117	4814
461	4125	4804
462	4134	4795
463	4143	4786
464	4153	4778
465	4161	4769
466	4171	4760
467	4179	4751
468	4188	4741
469	4196	4732
470	4204	4722
471	4213	4712
472	4221	4703
473	4229	4693
474	4238	4684
475	4246	4674
476	4254	4664
477	4262	4654
478	4270	4644
479	4278	4634
480	4286	4625
481	4294	4615
482	4303	4605
483	4311	4596
484	4319	4586
485	4327	4576
486	4335	4566
487	4343	4557
488	4352	4548
489	4360	4538
490	4369	4529
491	4377	4519
492	4385	4509
493	4393	4500
494	4402	4490
495	4410	4481
496	4418	4471
497	4426	4461
498	4434	4451
499	4442	4442
500	4450	4432
501	4459	4423
502	4467	4414
503	4476	4405
504	4485	4396
505	4494	4387
506	4503	4379
507	4513	4371
508	4522	4362
509	4531	4353
510	4540	4345
511	4550	4336
512	4559	4328
513	4568	4320
514	4578	4311
515	4586	4302
516	4594	4292
517	4603	4283
518	4611	4274
519	4620	4265
520	4629	4256
521	4638	4247
522	4647	4238
523	4657	4231
524	4666	4222
525	4675	4213
526	4684	4204
527	4694	4196
528	4704	4188
529	4715	4181
530	4724	4172
531	4734	4165
532	4745	4158
533	4756	4150
534	4766	4142
535	4776	4134
536	4785	4126
537	4794	4117
538	4802	4107
539	4812	4099
540	4821	4091
541	4831	4082
542	4840	4074
543	4850	4065
544	4859	4057
545	4869	4049
546	4878	4039
547	4887	4031
548	4896	4022
549	4906	4014
550	4915	4005
551	4924	3996
552	4933	3987
553	4942	3979
554	4951	3970
555	4961	3961
556	4969	3952
557	4979	3944
558	4988	3935
559	4997	3926
560	5006	3917
561	5016	3909
562	5024	3900
563	5034	3891
564	5042	3882
565	5052	3873
566	5060	3864
567	5068	3855
568	5077	3846
