iter	Passed	Remaining
403	4745	7000
404	4751	6980
405	4758	6962
406	4766	6944
407	4771	6923
408	4777	6903
409	4782	6882
410	4790	6865
411	4797	6847
412	4804	6828
413	4810	6809
414	4818	6792
415	4827	6777
416	4834	6759
417	4841	6741
418	4848	6722
419	4860	6711
420	4870	6698
421	4874	6676
422	4884	6662
423	4893	6647
424	4899	6629
425	4907	6612
426	4913	6594
427	4928	6586
428	4941	6577
429	4958	6573
430	4976	6570
431	4983	6552
432	4989	6533
433	4997	6517
434	5003	6499
435	5010	6481
436	5020	6467
437	5026	6449
438	5035	6434
439	5043	6418
440	5049	6400
441	5056	6383
442	5064	6367
443	5071	6351
444	5081	6337
445	5094	6327
446	5101	6311
447	5106	6292
448	5114	6276
449	5121	6259
450	5127	6241
451	5135	6225
452	5142	6209
453	5150	6193
454	5156	6176
455	5160	6156
456	5168	6140
457	5177	6126
458	5183	6109
459	5191	6094
460	5196	6075
461	5202	6058
462	5210	6042
463	5216	6025
464	5224	6011
465	5231	5995
466	5237	5978
467	5243	5960
468	5251	5945
469	5257	5928
470	5262	5911
471	5269	5894
472	5276	5878
473	5282	5861
474	5289	5846
475	5296	5830
476	5303	5815
477	5309	5798
478	5316	5782
479	5322	5765
480	5328	5749
481	5334	5732
482	5340	5716
483	5348	5701
484	5353	5685
485	5360	5668
486	5367	5653
487	5374	5639
488	5380	5622
489	5387	5607
490	5396	5593
491	5403	5578
492	5409	5562
493	5415	5546
494	5422	5531
495	5428	5516
496	5438	5503
497	5445	5488
498	5459	5481
499	5466	5466
500	5472	5450
501	5479	5435
502	5489	5424
503	5500	5413
504	5506	5397
505	5512	5381
506	5516	5364
507	5521	5347
508	5535	5340
509	5548	5331
510	5554	5315
511	5561	5300
512	5575	5293
513	5591	5286
514	5598	5271
515	5604	5256
516	5610	5241
517	5616	5226
518	5623	5211
519	5629	5196
520	5635	5180
521	5642	5167
522	5649	5152
523	5656	5137
524	5661	5122
525	5669	5109
526	5678	5096
527	5684	5081
528	5690	5066
529	5694	5050
530	5702	5036
531	5709	5022
532	5715	5008
533	5722	4993
534	5730	4980
535	5737	4966
536	5743	4952
537	5749	4937
538	5756	4923
539	5764	4910
540	5770	4895
541	5776	4881
542	5784	4868
543	5792	4855
544	5798	4841
545	5805	4827
546	5811	4813
547	5817	4798
548	5824	4784
549	5829	4769
550	5833	4753
551	5843	4742
552	5849	4728
553	5859	4716
554	5865	4703
555	5871	4688
556	5877	4674
557	5884	4661
558	5890	4646
559	5897	4633
560	5905	4621
561	5912	4608
562	5918	4593
563	5938	4590
564	5945	4577
565	5952	4564
566	5959	4550
567	5964	4536
568	5971	4523
569	5976	4508
570	5982	4494
571	5990	4482
572	5998	4470
573	6005	4456
574	6012	4443
575	6019	4431
576	6027	4418
577	6032	4404
578	6038	4390
579	6043	4376
580	6049	4362
581	6058	4351
582	6064	4337
583	6072	4325
584	6080	4313
585	6086	4300
586	6091	4286
587	6098	4272
588	6104	4259
589	6113	4248
590	6117	4233
591	6124	4221
592	6131	4208
593	6139	4196
594	6146	4183
595	6153	4171
596	6159	4157
597	6167	4145
598	6174	4133
599	6183	4122
600	6191	4110
601	6197	4097
602	6203	4084
603	6216	4075
604	6226	4064
605	6231	4051
606	6238	4039
607	6245	4027
608	6254	4015
609	6260	4002
610	6266	3989
611	6273	3977
612	6281	3965
613	6295	3957
614	6303	3946
615	6308	3932
616	6311	3917
617	6314	3903
618	6317	3888
619	6320	3873
620	6322	3858
621	6326	3844
622	6328	3829
623	6332	3815
624	6334	3800
625	6337	3786
626	6340	3771
627	6345	3758
628	6352	3746
629	6358	3734
630	6364	3721
631	6369	3708
632	6376	3696
633	6380	3683
634	6388	3672
635	6394	3659
636	6401	3647
637	6406	3635
638	6412	3622
639	6417	3610
640	6425	3598
641	6432	3587
642	6438	3574
643	6445	3562
644	6451	3550
645	6456	3538
646	6463	3526
647	6469	3514
648	6475	3502
649	6480	3489
650	6486	3477
651	6493	3465
652	6499	3453
653	6506	3442
654	6511	3429
655	6520	3419
656	6533	3410
657	6544	3401
658	6550	3389
659	6557	3378
660	6564	3366
661	6572	3355
662	6583	3346
663	6590	3335
664	6601	3325
665	6609	3314
666	6614	3302
667	6621	3291
668	6629	3279
669	6636	3268
670	6643	3257
671	6650	3246
672	6658	3235
673	6664	3223
674	6669	3211
675	6676	3199
676	6682	3188
677	6687	3176
678	6695	3165
679	6702	3154
680	6713	3144
681	6719	3133
682	6728	3122
683	6736	3112
684	6748	3103
685	6762	3095
686	6770	3084
687	6776	3073
688	6784	3062
689	6792	3051
690	6801	3041
691	6808	3030
692	6814	3018
693	6822	3008
694	6834	2999
695	6841	2988
696	6852	2978
697	6860	2968
698	6865	2956
699	6870	2944
700	6878	2933
701	6886	2923
702	6893	2912
703	6899	2900
704	6906	2889
705	6911	2878
706	6918	2867
707	6927	2856
708	6934	2846
709	6941	2835
710	6949	2824
711	6954	2813
712	6961	2802
713	6969	2791
714	6974	2780
715	6980	2768
716	6986	2757
717	6991	2746
718	7001	2736
719	7007	2725
720	7012	2713
721	7018	2702
722	7024	2691
723	7029	2679
724	7036	2669
725	7041	2657
726	7047	2646
727	7053	2635
728	7059	2624
729	7066	2613
730	7073	2602
731	7079	2591
732	7084	2580
733	7090	2569
734	7096	2558
735	7102	2547
736	7108	2536
737	7115	2525
738	7123	2515
739	7129	2505
740	7135	2494
741	7140	2482
742	7146	2471
743	7151	2460
744	7157	2449
745	7163	2439
746	7169	2428
747	7175	2417
748	7179	2406
749	7184	2394
750	7191	2384
751	7196	2373
752	7201	2362
753	7206	2351
754	7211	2340
755	7217	2329
756	7224	2319
757	7233	2309
758	7238	2298
759	7241	2286
760	7248	2276
761	7253	2265
762	7262	2255
763	7267	2245
764	7272	2233
765	7277	2223
766	7282	2212
767	7287	2201
768	7293	2190
769	7298	2180
770	7304	2169
771	7308	2158
772	7316	2148
773	7324	2138
774	7330	2128
775	7337	2118
776	7343	2107
777	7354	2098
778	7359	2087
779	7365	2077
780	7371	2067
781	7377	2056
782	7386	2046
783	7391	2036
784	7398	2026
785	7406	2016
786	7413	2006
787	7424	1997
788	7432	1987
789	7440	1977
790	7446	1967
791	7452	1957
792	7460	1947
793	7465	1936
794	7473	1927
795	7478	1916
796	7485	1906
797	7494	1897
798	7501	1887
799	7511	1877
800	7516	1867
801	7523	1857
802	7529	1847
803	7536	1837
804	7544	1827
805	7553	1818
806	7560	1808
807	7566	1798
808	7575	1788
809	7581	1778
810	7590	1768
811	7596	1758
812	7603	1748
813	7607	1738
814	7612	1727
815	7618	1717
816	7623	1707
817	7629	1697
818	7635	1687
819	7640	1677
820	7646	1667
821	7651	1656
822	7656	1646
823	7660	1636
824	7666	1626
825	7673	1616
826	7680	1606
827	7687	1596
828	7693	1587
829	7702	1577
830	7709	1567
831	7713	1557
832	7718	1547
833	7724	1537
834	7732	1527
835	7739	1518
836	7745	1508
837	7752	1498
838	7756	1488
839	7760	1478
840	7766	1468
841	7772	1458
842	7779	1448
843	7784	1438
844	7788	1428
845	7791	1418
846	7796	1408
847	7801	1398
848	7806	1388
849	7811	1378
850	7816	1368
851	7820	1358
852	7824	1348
853	7828	1338
854	7832	1328
855	7837	1318
856	7841	1308
857	7846	1298
858	7853	1289
859	7857	1279
860	7861	1269
861	7866	1259
862	7870	1249
863	7874	1239
864	7879	1229
865	7883	1219
866	7887	1209
867	7893	1200
868	7898	1190
869	7902	1180
870	7907	1171
871	7912	1161
872	7916	1151
873	7922	1142
874	7926	1132
875	7931	1122
876	7935	1112
877	7939	1103
878	7943	1093
879	7947	1083
880	7952	1074
881	7957	1064
882	7961	1054
883	7966	1045
884	7975	1036
885	7979	1026
886	7983	1017
887	7987	1007
888	7991	997
889	7995	988
890	7999	978
891	8003	969
892	8007	959
893	8012	950
894	8017	940
